"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"180","abel kiviat","1500M Men",236.9,3.94833333333333,"USA","United States",1912,"S","Stockholm","M",8.05e+11,97500000,19,172,66,1500
"181","norman taber","1500M Men",236.9,3.94833333333333,"USA","United States",1912,"B","Stockholm","M",8.05e+11,97500000,20,174,52,1500
"182","james lightbody","1500M Men",245.4,4.09,"USA","United States",1904,"G","St Louis","M",5.88e+11,83900000,22,173,61,1500
"183","usain bolt","200M Men",19.3,0.321666666666667,"JAM","Jamaica",2008,"G","Beijing","M",2.41e+10,2790000,21,196,95,200
"184","shawn crawford","200M Men",19.96,0.332666666666667,"USA","United States",2008,"S","Beijing","M",1.54e+13,303000000,30,181,86,200
"185","walter dix","200M Men",19.98,0.333,"USA","United States",2008,"B","Beijing","M",1.54e+13,303000000,22,175,80,200
"186","darren campbell","200M Men",20.14,0.335666666666667,"GBR","United Kingdom",2000,"S","Sydney","M",1.83e+12,59000000,27,183,83,200
"187","ato boldon","200M Men",20.2,0.336666666666667,"TTO","Trinidad and Tobago",2000,"B","Sydney","M",2.27e+10,1270000,26,176,75,200
"188","michael marsh","200M Men",20.01,0.3335,"USA","United States",1992,"G","Barcelona","M",9.73e+12,257000000,24,178,75,200
"189","frank fredericks","200M Men",20.13,0.3355,"NAM","Namibia",1992,"S","Barcelona","M",9.51e+09,1510000,24,180,73,200
"190","michael bates","200M Men",20.38,0.339666666666667,"USA","United States",1992,"B","Barcelona","M",9.73e+12,257000000,22,180,86,200
"191","carl lewis","200M Men",19.8,0.33,"USA","United States",1984,"G","Los Angeles","M",7.77e+12,239000000,23,188,80,200
"192","kirk baptiste","200M Men",19.96,0.332666666666667,"USA","United States",1984,"S","Los Angeles","M",7.77e+12,239000000,22,184,79,200
"193","thomas jefferson","200M Men",20.26,0.337666666666667,"USA","United States",1984,"B","Los Angeles","M",7.77e+12,239000000,22,183,75,200
"194","donald quarrie","200M Men",20.23,0.337166666666667,"JAM","Jamaica",1976,"G","Montreal","M",1.7e+10,2060000,25,175,70,200
"195","millard frank jr. hampton","200M Men",20.29,0.338166666666667,"USA","United States",1976,"S","Montreal","M",6.07e+12,221000000,20,180,75,200
"196","dwayne eugene evans","200M Men",20.43,0.3405,"USA","United States",1976,"B","Montreal","M",6.07e+12,221000000,17,183,66,200
"197","tommie smith","200M Men",19.8,0.33,"USA","United States",1968,"G","Mexico","M",4.94e+12,206000000,24,191,84,200
"198","peter norman","200M Men",20,0.333333333333333,"AUS","Australia",1968,"S","Mexico","M",2.17e+11,12300000,26,178,73,200
