"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3325","Elsa Katrine ""Trine"" Solberg-Hattestad",1996,"F",30,173,76,"Norway","NOR","Athletics Women's Javelin Throw"
"3326","Elsa Katrine ""Trine"" Solberg-Hattestad",2000,"F",34,173,76,"Norway","NOR","Athletics Women's Javelin Throw"
"3327","Veniamin Vasilyevich Soldatenko",1972,"M",33,175,63,"Soviet Union","URS","Athletics Men's 50 kilometres Walk"
"3328","Jarrin Solomon",2012,"M",26,165,73,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay"
"3329","Elemr Somfay (Stromfeld-)",1924,"M",25,178,72,"Hungary","HUN","Athletics Men's Pentathlon"
"3330","Istvn Somodi",1908,"M",22,175,63,"Hungary","HUN","Athletics Men's High Jump"
"3331","Son Gi-Jeong",1936,"M",21,170,60,"Japan","JPN","Athletics Men's Marathon"
"3332","Kelly Jade Sotherton",2004,"F",27,178,66,"Great Britain","GBR","Athletics Women's Heptathlon"
"3333","Yuliya Vladimirovna Sotnikova",2000,"F",29,170,60,"Russia","RUS","Athletics Women's 4 x 400 metres Relay"
"3334","Javier Sotomayor Sanabria",1992,"M",24,193,80,"Cuba","CUB","Athletics Men's High Jump"
"3335","Javier Sotomayor Sanabria",2000,"M",32,193,80,"Cuba","CUB","Athletics Men's High Jump"
"3336","Cludio Roberto de Sousa",2000,"M",26,168,72,"Brazil","BRA","Athletics Men's 4 x 100 metres Relay"
"3337","Silas Edward ""Eddie"" Southern",1956,"M",18,185,81,"United States","USA","Athletics Men's 400 metres Hurdles"
"3338","James Tindal Soutter",1912,"M",27,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay"
"3339","Ivana panovi",2016,"F",26,176,65,"Serbia","SRB","Athletics Women's Long Jump"
"3340","Charles ""Charlie"" Spedding",1984,"M",32,173,63,"Great Britain","GBR","Athletics Men's Marathon"
"3341","Malcolm Emanuel Augustus ""Mal"" Spence",1960,"M",24,177,71,"West Indies Federation","WIF","Athletics Men's 4 x 400 metres Relay"
"3342","Malcolm Clive Spence",1960,"M",22,187,76,"South Africa","RSA","Athletics Men's 400 metres"
"3343","Ashley Spencer",2016,"F",23,178,59,"United States","USA","Athletics Women's 400 metres Hurdles"
"3344","Emerson Lane ""Bud"" Spencer",1928,"M",21,183,72,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"3345","Edward Adams Spencer",1908,"M",26,165,53,"Great Britain","GBR","Athletics Men's 10 mile Walk"
"3346","Konstantinos Spetsiotis",1906,"M",NA,NA,NA,"Greece","GRE","Athletics Men's 1,500 metres Walk"
"3347","Aleksey Sergeyevich Spiridonov",1976,"M",24,192,117,"Soviet Union","URS","Athletics Men's Hammer Throw"
"3348","Leonid Vasilyevich Spirin",1956,"M",24,NA,NA,"Soviet Union","URS","Athletics Men's 20 kilometres Walk"
"3349","Barbora potkov",2008,"F",27,182,80,"Czech Republic","CZE","Athletics Women's Javelin Throw"
"3350","Barbora potkov",2012,"F",31,182,80,"Czech Republic","CZE","Athletics Women's Javelin Throw"
"3351","Barbora potkov",2016,"F",35,182,80,"Czech Republic","CZE","Athletics Women's Javelin Throw"
"3352","Xenia Stad-de Jong (-van Bijlevelt)",1948,"F",26,NA,NA,"Netherlands","NED","Athletics Women's 4 x 100 metres Relay"
"3353","Joseph Francis Stadler",1904,"M",24,NA,NA,"United States","USA","Athletics Men's Standing High Jump"
